,symptoms,clasificacion
271,"My back hurts all the time, and my arms and neck have rashes. The back of eyes pain a lot. I also have fever and it is making we worried about my health.",infectology
272,"I've been suffering from significant joint pain, which makes it difficult for me to walk and carry out my everyday tasks. I've also lost my appetite, which makes me feel weak and feel like vomitting.",infectology
273,There is a constant behind my eyes. I have developed red spots on my neck and face and rashes on my arms. My arms and legs pain a lot. . The spots are itchy and uncomfortable and it is worrying me.,infectology
274,"I've been feeling sick and feel a strong need to vomit. There is a sharp ache behind my eyes, and swollen red dots all over my back.",infectology
275,My shivers and shivering have been accompanied with a sensation of coldness and a very high fever. Rashes on my arms and red patches on my neck have also appeared. ,infectology
276,"I have been suffering from severe joint ache. I feel vomiting most of the time, and I am developing a moderate fever with chills. The fever that doesn't seem to come down even with medication.",infectology
277,"The vomiting I've been having has been followed by stomach pains and dizziness. I've lost my appetite and as a result feel weak. My arms, back, neck pain most of the time.",infectology
278,I have developed red spots on my arms and legs that are itchy and inflamed. I have been feeling nauseaus and have a constant urge to vomit. This is accomapanied by mild fever.,infectology
279,"I have developed a skin rash that covers my entire body. The rash is red and swollen, and is worse in certain areas such as my arms and legs. I have also lost my appetite. ",infectology
280,I have been experiencing chills and shivering. There is a strong pain in my back and also behind my eyes. I have also noticed small red spots on my back and neck. ,infectology
281,I have been experiencing severe joint pain that is making my day very difficult. I feel like vomiting all the time and have a mild headache too.,infectology
282,"I have been vomiting frequently and have lost my appetite as a result. There are rashes on my skin and my eyes pain, because of which I cannot sleep properly.",infectology
283,I have a high fever along with a severe headache. The fever is accompanied by extreme body pain and chills. I am worried about my health and don’t know what to do.,infectology
284,"I have been feeling extremely tired and fatigued, and I have no energy to do anything. The fatigue is so severe that I struggle to get out of bed. I have noticed small red spots on my arms and legs. ",infectology
285,I have been experiencing a severe headache that is accompanied by pain behind my eyes. I feel tired and fatigued because of which I cannot work all day. I am worried about my health.,infectology
286,"I have been feeling nauseous and have a constant urge to vomit, which is accompanied with mild fever and headache. ",infectology
287,I have developed rashes on my body that are itchy and. I have lost my appetite and feel very tired all day. I feel something is wrong with my body.,infectology
288,"I have been experiencing muscle pain and headache. The muscle pain feels like a constant ache and is worse when I try to use the affected muscles. There are small red spots developing on my face, neck and arms.",infectology
289,"My back hurts, and I have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I also have a mild fever, which is making us concerned about my health. ",infectology
290,"I am experiencing very high fever and chills every night. It is really concerning me. Moreover, I don’t feel like eating anything and my back, arms, legs pain a lot. There is a strange pain behing my eyes. I can’t do any physical activities. ",infectology
291,"As a result of my regular vomiting, I've lost my appetite. My muscles, joints and back constantly hurt. I am starting to have fever too. I am really worried and not sure what to do.",infectology
292,I have been experiencing a severe fever that is accompanied by pain behind my eyes and headache. I feel tired and exhasuted because of which I cannot do any work.,infectology
293,"My whole body is paining a lot and I don’t feel like eating anything. I have mild fever and get chills every night. Also, there are some red spots developing on my back and neck.",infectology
294,"My joints and back pain everyday. I feel like vomitting and this has made me very weak. Because of my body pain, I am not able to focus on my work and don’t feel like doing anything.",infectology
295,The body pain I have been feeling is extreme. I has lost my appetite and developed rashes on my arms and face. The back of my eyes pain a lot.,infectology
296,I have developed rashes on my body. I am also experiencing high fever along with chills and headache. My joints and back hurt and there is a strange pain in the back of my eyes.,infectology
297,"I have been feeling nauseous and have a constant urge to vomit. I get high fever and chills every night and feel terrible because of this. Also, I feel I have lost my appetite.",infectology
298,"There are rashes on my skin, which itch if I touch them. I don’t feel good as my joints pain whole day. At night, I have mild fever and get chills, because of which I can’t sleep too.",infectology
299,"I have raised lumps, a rash that looks red and inflamed, discoloured areas of skin that are different colours from the rest of my skin, and itching on my skin.",infectology
300,"All over my body, there has been a severe itching that has been followed by a red, bumpy rash. My skin also has a few darkened spots and a few tiny, nodular breakouts. It has been happening for several days and is becoming worse.",infectology
301,"I've had a rash on my skin that looks like dischromic patches, and I also have a lot of nodular eruptions and really bad itching. During the previous week, it has become worse.",infectology
302,"I've had a rash that won't go away and a bothersome itching on my skin. In addition, I've seen some color-different areas and bumps that resemble knots or lumps on my skin.",infectology
303,"I have a rash all over my body, and I can't stop scratching because my skin is itchy. My skin also has a few spots where the hue is altered and some lumps and knot-like pimples.",infectology
304,"Recently, my skin has been quite itchy, and I have a rash all over my body. My skin also has a few spots where the hue is altered and some lumps and knot-like pimples.",infectology
305,"My skin has been itching a lot and developing a rash. Additionally, I have a few areas of my skin that are a different hue than the rest of it. Additionally, I have a few firm pimples or breakouts on my skin.",infectology
306,"All over my body has been itching like crazy, and now there are red areas all over. Additionally, some of the patches have a different tone than my natural skin. And on my skin, there are these lumps or pimples that have developed.",infectology
307,"My skin has been acting up recently, becoming extremely itchy and rashes-prone. Additionally, there are certain spots that deviate from my natural skin tone in terms of hue. And now my skin has these lumps or bumps that weren't there before.",infectology
308,"On my arms and legs, I have a lot of red pimples and itchy skin. My skin also has a few odd-looking lesions. And occasionally there are bumps that are somewhat uncomfortable.",infectology
309,I have an itchy skin and lots of red bumps on my arms and legs. There are some weird looking spots on my skin too. And sometimes there are bumps that feel kind of hard.,infectology
310,"Doctor, I have a really itchy rash on my skin and there are some weird spots that are a different color. There are also some bumps on my skin that look like little knots",infectology
311,"Doctor, My skin is covered in a very uncomfortable rash, along with some odd patches of a different hue. My skin also has a few pimples that resemble little knots",infectology
312,"I have lots of itchy spots on my skin, and sometimes they turn red or bumpy. There are also some weird patches that are different colors than the rest of my skin, and sometimes I get these weird bumps that look like little balls.",infectology
313,"My skin frequently develops itchy bumps that can occasionally turn red or rough. Aside from that, my skin occasionally develops strange pimples that resemble small balls and some odd spots that are a different hue from the rest of my skin.",infectology
314,"Doctor, I have these red rashes that keep popping up and my skin is continuously itching. In addition, I've observed some odd color-different spots on my skin, as well as some little nodules on my skin that appear to be expanding.",infectology
315,"I have been experiencing some really intense itching all over my body, along with redness and bumps on my skin. There are also these weird patches that are different colors than the rest of my skin, and sometimes I get these nodules that look like small bumps.",infectology
316,"All over my body, I've been scratching so much that my skin has become red and developed pimples. Additionally, I occasionally get these nodules that resemble little pimples, as well as these strange patches that are a different hue from the rest of my skin.",infectology
317,"I've been experiencing a lot of itching, which has been accompanied with a rash that appears to be growing worse over time. There are also certain areas of skin that are different colours from the rest, and I've spotted several lumps that resemble little nodes.",infectology
318,"I've been having a lot of problems with itching, and it's been accompanied by a rash that seems to be getting worse over time. There are also some patches of skin that are different colors than the rest, and I've noticed some bumps that look like little nodes.",infectology
319,"Doctor, My skin is covered in an uncomfortable rash and has a few odd patches of skin that are a different colour. There are a few pimples on my skin that resemble little knots.",infectology
320,"I've been itching a lot, and it's been accompanied with a rash that looks to be getting worse over time. There are also some patches of skin that are different colours from the rest of the skin, as well as some lumps that resemble little nodes.",infectology
321,"My skin has been acting up lately, becoming exceedingly itchy and prone to rashes. Furthermore, several patches differ from my normal skin tone in terms of colour. And now I have lumps or bumps on my skin that weren't there before.",infectology
322,"A rash that appears to be developing throughout my skin has been accompanying my recent bouts of intense itching and discomfort. On my skin, I also have some dischromic spots and little lumps that seem to be appearing everywhere.",infectology
323,"My skin always itches, and occasionally it becomes quite rough and red. In addition, I occasionally get little pimples that resemble tiny balls and certain spots that are a different colour from the rest of my skin. It severely irritates me and itches.",infectology
324,"I have a lot of itching all over my skin, and sometimes it gets really red and bumpy. There are also some patches that are different colors than the rest of my skin, and sometimes I get these little bumps that look like little balls. It's really annoying and itchy.",infectology
325,"I have a pretty irritating itch all over my body, and my skin also has a few red, bumpy areas. I've also had some pimples that resemble small balls and other spots that are a different colour than the rest of my skin. ",infectology
326,"I've had a pretty uncomfortable itch all over my body, as well as red and bumpy areas on my skin. There are also certain patches of my skin that are a different hue than the rest of it, and I've had some pimples that resemble little balls.",infectology
327,"I've been having this really annoying itch all over my body, and I have red and bumpy spots on my skin too. There are also some areas that are a different color than the rest of my skin, and I've had some bumps that look like little balls.",infectology
328,"I've had a pretty uncomfortable itch all over my body, as well as red and bumpy areas on my skin. There are also certain patches of my epidermis with a distinct shade than the rest of it, and I've had some pimples that resemble little balls.",infectology
329,"I've been really itchy lately and there are these rashy spots all over my skin. There are also some areas that look different in shade than the rest of my skin, and I've had some bumps that are kind of hard.",infectology
330,"I've been quite itchy recently, and I have rashy patches all over my skin. There are also certain regions that are darker in colour than the rest of my skin, and I've got some firm lumps.",infectology
331,"I've been rather itchy recently, and I have rashy blotches all over my skin. There are also certain regions that are more dark in color than the rest of my skin, and I've got some painful lumps.",infectology
332,"Recently, I've been scratching myself a lot, and my skin is covered with rashy places. Additionally, I've had a few pimples that are rather firm, and there are certain spots on my body that have a different shade of brown than the rest of my skin.",infectology
333,"My skin has been really itchy and there are these rashy spots all over. There are also some patches that look different in color than the rest of my skin, and I've had some bumps that are kind of hard.",infectology
334,"My skin has been really scratchy, and there are rashes all over my body. I have some bumps that are quite firm, as well as some areas that are a darker shade from the rest of my skin. It's extremely unpleasant.",infectology
335,"There are rashy areas all over my skin, which has been really irritating. Additionally, I have some bumps that are fairly firm and some patches that are a different colour from the rest of my skin.",infectology
336,"Recently, I've been scratching myself a lot, and my skin is covered with rashy places. In addition, there are a few spots where my skin doesn't appear to be its usual shade, and I've experienced a few lumps that are quite painful.",infectology
337,"I've been really itchy lately and there are these rashy spots all over my skin. There are also some areas that don't look like the normal color of my skin, and I've had some bumps that are kind of hard",infectology
338,"I've been quite itchy recently, and I have rashy places all over my body. There are also some regions that don't appear to be the typical hue of my skin, and I've experienced some firm lumps.",infectology
339,"I've been itching and have rashy patches all over my skin recently. There are also some regions that don't appear to be the regular tone of my skin, and I've experienced some painful bumps.",infectology
340,"Recently, I've been itching myself a lot, and my skin is covered with rashy patches. Furthermore, there are a few regions where my skin doesn't appear to be its usual tone, and I've experienced a few lumps that are exceptionally painful.",infectology
341,"I've been having this constant itch and there are these red and bumpy spots on my skin. There are also some patches that are a different color than the rest of my skin, and I've had some bumps that are kind of like little lumps.",infectology
342,"There are red, bumpy areas on my skin, and I've been scratching myself nonstop. Additionally, I have some bumps that resemble little lumps and some spots that are a different shade of skin than the rest of my body.",infectology
343,"I've had a lot of itching on my skin, which occasionally turns into a rash. There are also some odd patches of skin that are a different hue than the rest of me, and I occasionally get little pimples that resemble nodules.",infectology
344,"I've had a tendency of itching on my skin, that frequently turns into a rash. There are also some strange patches of skin that are a different tone than the rest of my skin, and I regularly get little lumps that mimic nodules.",infectology
345,"I've been experiencing a lot of itching on my skin, and sometimes it turns into a rash. There are also some strange patches of skin that are a different color than the rest of me, and sometimes I get little bumps that look like nodules.",infectology
346,"My body has been itching terribly all over, and there are now red spots everywhere. Some of the patches also differ in tone from my natural complexion. And there are these lumps or pimples that have appeared on my skin.",infectology
347,"My skin has been really itchy lately, and it occasionally erupts into a rash. In addition, I have a few odd areas of skin that are a different coloration from the rest of me, and occasionally I develop little bumps that look  like nodules.",infectology
348,There are now red blotches all over my body where I have been itching horribly all over. A few of the patches also differ in complexion from my natural skin. And these lumps or bumps have developed on my skin.,infectology
349,"I can't stop sneezing and my nose is really runny. I'm also really cold and tired all the time, and I've been coughing a lot. My fever is really high too, like way above normal.",infectology
350,"My nose is extremely runny, and I can't seem to stop sneezing. In addition, I constantly feel cold, exhausted, and I've been coughing a lot. My fever is also really high far above normal.",infectology
351,"I've been sneezing nonstop and I can't seem to shake this chill. I'm feeling really weak and tired, and my cough won't go away. My fever is really high",infectology
352,"I've been sneezing incessantly and I just can't get this chill to go away. I feel so weak and exhausted, and my cough won't stop. My temperature is really high.",infectology
353,I'm constantly sneezing and my body is shaking from being cold. I'm so tired I can barely move and my head is killing me. My fever is through the roof,infectology
354,"I'm constantly sneezing, and the cold is making my body tremble. I'm so exhausted that I can hardly move, and my head hurts. My fever is quite high.",infectology
355,"I've been quite exhausted and ill. I'm sneezing nonstop and am quite cold. My head is throbbing, and I lack energy. Additionally, I have a very high fever and feel like I am on fire.",infectology
356,"I've been feeling really tired and sick. I've been sneezing a lot and I can't seem to get warm. I'm so tired and my head is killing me. And my fever is really high, like I'm boiling.",infectology
357,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Just feeling extremely run down and weak",infectology
358,"I've been quite exhausted and ill. I have been sneezing a lot and am having trouble warming up. I'm so exhausted, and my head hurts. And I feel like I am boiling over with my high temperature.",infectology
359,I can't stop sneezing and I feel really tired and crummy. My throat is really sore and I have a lot of gunky stuff in my nose and throat. My neck feels swollen and puffy too.,infectology
360,"I can't stop sneezing, and I'm exhausted and sick. My throat is really uncomfortable, and there is a lot of junk in my nose and throat. My neck is also swollen and puffy.",infectology
361,"I keep sneezing, and I'm miserable and exhausted. I have a lot of gunky things in my nose and throat, and my throat is really hurting. My neck also feels puffy and swollen.",infectology
362,I've been feeling really exhausted and sick to my stomach. I've had a really bad cough and my throat has hurt a lot. I've experienced substantial sinus pressure and a congested nose. I'm really unpleasant and worn out.,infectology
363,I've been sneezing a lot and feeling really tired and sick. There's also a lot of gross stuff coming out of my nose and my throat feels really scratchy. And my neck feels swollen too.,infectology
364,"I've been wheezing a lot and am generally feeling sick and exhausted. My throat feels really scratchy, and a lot of gross stuff is flowing out of my nose. My neck also feels bloated.",infectology
365,"My sinuses feel incredibly congested, and my eyes are continuously red. I just constantly feel drained and exhausted. In addition, I have a lot of uncomfortable phlegm in my throat. My lymph nodes feel bloated, and breathing has been challenging.",infectology
366,My eyes have been really red and my sinuses feel congested. I just don't have any energy and my throat has been really itchy. I've also noticed my lymph nodes are swollen and I've been coughing up a lot of phlegm.,infectology
367,"My sinuses feel stuffy, and my eyes have been quite red. I simply lack energy, and my throat has been really scratchy. Along with the swelling in my lymph nodes, I've also been coughing up a lot of phlegm.",infectology
368,"My eyes are always red and itchy, and my nose feels all stuffy and congested. I just feel kind of sick and tired all the time, and I keep coughing up all this gunk. My throat feels sore and scratchy, and I've noticed that the bumps on my neck are bigger than usual",infectology
369,"My nose always feels stuffy and congested, and my eyes are always red and itching. I have a feeling of being unwell and fatigued, and I keep hacking up this gunk. I have a scratchy, irritated throat, and I've seen that my neck's bumps are larger than usual.",infectology
370,"I keep sneezing, and my eyes don't quit dripping. It's incredibly difficult for me to breathe because it feels like there is something trapped in my throat. I often feel exhausted, and lately, I've had a lot of phlegm. Moreover, my lymph nodes are enlarged.",infectology
371,My eyes are red and watery all the time. I've also had this pressure in my sinuses that won't go away. I'm always feeling tired and I've been having a lot of trouble breathing. I've also had a lot of gunk in my throat and my lymph nodes are swollen.,infectology
372,"My eyes are constantly red and runny. A persistent tightness in my sinuses has also been bothering me. I've been having a lot of difficulties breathing and constantly feel fatigued. In addition, I have a lot of throat mucus and inflamed lymph nodes.",infectology
373,"My nose feels quite clogged, and my eyes are constantly very red and runny. In addition, my chest hurts and I've been having a lot of breathing problems. In addition, my muscles feel quite painful, and I can't smell anything.",infectology
374,"My eyes are usually red and runny, and my nose is always stuffy. I've also been having difficulty breathing and my chest hurts. In addition, I can't smell anything and my muscles are quite painful.",infectology
375,"My eyes are usually red and inflamed, and I have the impression that something is clogging my sinuses. I've been coughing up a lot of gunk, and my chest hurts. I can't smell anything, and my muscles are aching.",infectology
376,"My eyes are always red and swollen, and I feel like there's something blocking my sinuses. I've been coughing up a lot of goo and my chest feels really heavy. I can't smell anything and my muscles are really sore",infectology
377,"I've been coughing a lot and feeling chilly and shivery. My nose has been quite clogged, and I am experiencing facial pressure. I also have a lot of phlegm, and coughing pains my chest. I can't smell anything, and my muscles are aching.",infectology
378,"For days, I've had a nasty cough and cold. My sinuses are clogged, and I have facial pressure. I've also been creating phlegm, and coughing pains my chest. I can't smell anything, and my muscles are aching.",infectology
379,"I've had a nasty cough and cold for days. My sinuses are congested, and I have facial pressure. I've also been coughing up mucus, and it pains my chest. I can't smell anything and my muscles are aching.",infectology
380,"My cough and cold have been awful for days. My sinuses are congested, and my face is under strain. Additionally, I've been coughing up phlegm, and it hurts in my chest. I have no sense of smell, and my muscles hurt a lot.",infectology
381,"I'm coughing nonstop and I'm shivering terribly. I have a stuffy nose and my face is under strain. In addition, my throat is coughing up some nasty gunk, and my chest hurts. My muscles hurt a lot, and I can't smell anything.",infectology
382,I can't stop coughing and I feel really cold. My sinuses are all blocked and I have a lot of mucus. My chest hurts and I can't smell anything. My muscles are also really sore.,infectology
383,"I'm coughing nonstop and am really chilly. My mucus production is excessive, and my sinuses are fully clogged. I can't smell anything, and my chest hurts. My muscles are quite painful as well.",infectology
384,"I can't stop coughing and I'm freezing. My sinuses are completely blocked, and I'm inundated with mucous. My chest hurts, and I'm unable to smell anything. My muscles are also really achy.",infectology
385,"I've been coughing a lot and finding it difficult to breathe. My throat hurts and I feel like I have a lot of phlegm trapped in my chest. My nose has been running a lot, and I've been feeling really congested.",infectology
386,"I've been experiencing severe weariness and a sickly sensation. My throat has been really painful and I've had a fairly severe cough. My nose has been quite stuffy, and I've had significant sinus pressure. I'm really miserable and extremely exhausted.",infectology
387,I've been feeling really sick and I've had a lot of fatigue. I've had a really bad cough and my throat has been really sore. I've had a lot of sinus pressure and my nose has been really congested. I just feel really run down and miserable.,infectology
388,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Simply put, I feel really run down and feeble.",infectology
389,I've been really weary and ill. I've been suffering from a severe cough and sore throat. I've got a lot of chills and a pretty high temperature. I simply feel tired and run down.,infectology
390,"I can't quit sneezing, and my nose is running. I'm also constantly chilly and exhausted, and I've been coughing a lot. My fever is also really high, well above usual.",infectology
391,"I've been feeling awful, with a lot of congestion and a runny nose. I've been coughing a lot and having a lot of chest pain. My fever has been really high, and I've been experiencing severe muscular discomfort.",infectology
392,"My neck is swollen, and I'm exhausted. My throat is scratchy, and my eyes are burning red. My nose is really clogged, and I am experiencing facial pressure. My chest hurts, and I'm unable to smell anything.",infectology
393,"I lack energy and feel like my neck is bloated. My eyes are red, and my throat feels scratchy. I have severe congestion in my nostrils, and my face is under pressure. I can't smell anything, and my chest hurts.",infectology
394,"I feel quite weak, and my lymph nodes are enlarged. My eyes are burning, and my throat hurts. My sinuses are under strain, and my nose is stuffy. I can't smell anything, and my chest hurts.",infectology
395,"I've had a terrible cough and cold for days. My face is tired and my sinuses are blocked. In addition, my chest hurts from the phlegm I've been coughing up. I can't smell, and my muscles are in terrible pain.",infectology
396,"I have red, watery eyes all the time. My sinuses have also been bothered by a constant tightness. My breathing has been quite tough, and I've been feeling worn out all the time. My lymph nodes are irritated, and I also have a lot of throat mucous.",infectology
397,"I always get hot, puffy eyes and the feeling that something is obstructing my sinuses. My chest feels quite heavy, and I've been coughing up a lot of gunk. I have no sense of smell, and my muscles hurt a lot.",infectology
398,"I've been feeling really cold and tired lately, and I've been coughing a lot with chest pain. My heart is beating really fast too, and when I cough, the phlegm is kind of a rusty color.",infectology
399,"I've been coughing a lot recently with chest pain and feeling incredibly chilly and exhausted. Additionally, my heart is thumping rapidly, and the phlegm I cough up has a reddish hue.",infectology
400,"I've been feeling really drained and cold, and I can't stop coughing. It hurts in my chest when I do, and my heart feels like it's racing. The mucus I'm coughing up is a gross brownish color.",infectology
401,"I've been exhausted and chilly, and I can't stop coughing. When I do, it pains in my chest and makes my heart race. My coughing mucous has a disgusting brownish hue.",infectology
402,"I've been having chills and feeling exhausted, and I can't seem to shake this cough. My chest hurts when I cough, and my heart feels like it's going a million miles an hour. The phlegm I'm coughing up is a dirty rust color.",infectology
403,"I've been experiencing chills, feeling worn out, and I can't seem to get rid of this cough. When I cough, my chest aches and my heart feels as like it is beating a million miles per hour. I'm coughing up a nasty rust-colored phlegm.",infectology
404,"I've been feeling really weak and cold lately, and this cough won't go away. It hurts in my chest when I cough, and my heart is pounding. The mucus I'm bringing up is a rusty brown color.",infectology
405,"I've been having chills and feeling really worn out, and this cough won't go away. My chest hurts when I cough, and my heart is racing. The mucus I'm bringing up is a gross brownish color.",infectology
406,"I've been experiencing chills, feel really exhausted, and my cough just won't go away. When I cough, my chest aches and my heart is pounding. It's a disgusting brownish hue, the mucous I'm coming up.",infectology
407,"I have a really high fever, and I'm having trouble breathing. I'm sweating a lot and feeling really cold and tired. My heart is beating really fast, and I have some brownish sputum",infectology
408,"I'm having problems breathing and have a very high fever. I'm perspiring a lot and experiencing extreme fatigue and chilly. My heart is racing, and I'm coughing up some brownish mucus.",infectology
409,"My temperature is very high, and I'm having a hard time breathing. I'm sweating profusely, and I'm shaking with chills. I'm really tired, and my heart is beating really fast. I also have some brownish phlegm coming up",infectology
410,"I'm having trouble breathing, and my fever is really high. I'm drenched in sweat and shivering from the chill. My heart is thumping rapidly, and I'm quite exhausted. Additionally, I'm about to have some brownish phlegm.",infectology
411,"My fever is really high, and I'm having trouble catching my breath. I'm sweating a lot, feeling cold and tired, and my heart is beating really fast. I also have some brownish phlegm coming up.",infectology
412,"I have a really high fever, and I have problems breathing. My heart is racing quite quickly, I'm perspiring a lot, and I feel chilly and exhausted. I'm also about to cough out some brownish phlegm.",infectology
413,"I've been feeling really sick with a high fever, shortness of breath, sweating, chills, and extreme fatigue. My heart rate is rapid, and I've been coughing up a lot of brownish sputum.",infectology
414,"With a high temperature, shortness of breath, sweating, chills, and intense exhaustion, I've been feeling quite poorly. I've been coughing up a lot of brownish phlegm and my pulse rate is racing.",infectology
415,I'm having a really hard time catching my breath and I'm sweating a lot. I feel really sick and have a lot of mucus in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is dark and looks like rust.,infectology
416,"I'm sweating profusely and finding it difficult to catch my breath. I feel quite ill, and my throat is very mucous. My heart is pounding, and my chest aches. I'm coughing up thick mucous that resembles rust.",infectology
417,"I'm having a lot of trouble breathing and am really uneasy. I'm feeling unwell and am perspiring a lot. My chest hurts and I have a lot of mucus in my throat. My heart is racing, and the hue of the mucus I'm coughing up is off.",infectology
418,I can't seem to get enough air and I'm sweating a lot. I don't feel well and there's a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is reddish in color.,infectology
419,"I'm sweating profusely and can't seem to get enough air. My throat is filled with a lot of mucus, and I don't feel good. My heart is pounding, and my chest aches. I'm coughing up reddish-colored mucous.",infectology
420,I can't seem to catch my breath and I'm sweating a lot. I feel really sick and have a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is yellowish.,infectology
421,"I'm dripping with perspiration and can't seem to catch my breath. My throat is filled with a lot of phlegm, and I feel awful. My heart is pounding, and my chest aches. I'm coughing up brownish mucous.",infectology
422,I'm having a hard time breathing and I feel really uncomfortable. I'm sweating a lot and there's a lot of phlegm in my throat. My chest hurts and my heart is beating fast. The mucus I'm coughing up is brownish.,infectology
423,"I'm having trouble breathing and am quite uneasy. My throat is filled with a lot of phlegm, and I'm perspiring a lot. My heart is racing, and my chest aches. I'm coughing up reddish mucous.",infectology
424,I can't seem to catch my breath and I'm sweating a lot. I feel really sick and have a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is brownish and stringy.,infectology
425,"I'm dripping with perspiration and can't seem to catch my breath. My throat is filled with a lot of phlegm, and I feel awful. My heart is pounding, and my chest aches. I'm coughing up a stringy, brownish mucous.",infectology
426,"I'm drenched with sweat and struggling to breathe. I don't feel well and have a lot of mucous in my throat. My chest aches, and my heart is racing. I'm coughing up mucus that is crimson in colour.",infectology
427,"I've been feeling very lousy, with a high temperature, shortness of breath, sweating, chills, and extreme weariness. My heart is beating, and I've been coughing up a lot of brownish phlegm.",infectology
428,"My fever is really high, and I'm having difficulty breathing. I'm drenched in sweat and shivering with chills. I'm quite fatigued, and my heart is racing. I'm also expecting some brownish phlegm.",infectology
429,"I've been getting chills, feeling tired, and I can't seem to shake this cough. My chest aches and my heart feels like it's racing at a million miles per hour when I cough. I'm coughing out a foul rusty phlegm.",infectology
430,"I'm having trouble breathing and am really uncomfortable. I'm sweating profusely and have a lot of mucus in my throat. My chest aches, and my heart is racing. I'm coughing up dark mucous.",infectology
431,"I've got a high fever and can't seem to catch my breath. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and black phlegm. My chest aches, and my heart has been racing rapidly.",infectology
432,"Lately I've been experiencing chills, fatigue, a cough, a high fever, and difficulty breathing. I've been sweating a lot and just feeling really sick and weak. I've also had some phlegm that's been really thick and dark.",infectology
433,"I've recently been suffering with chills, lethargy, a cough, a high temperature, and difficulties breathing. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and black phlegm.",infectology
434,"I've recently been suffering with chills, lethargy, a cough, a high temperature, and difficulties breathing. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and red phlegm.",infectology
435,"I've had chills, lethargy, a cough, a high temperature, and difficulties breathing lately. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and black phlegm.",infectology
436,"I've been having a lot of respiratory issues lately along with chills, exhaustion, a cough, and a high temperature. I've been sweating profusely and generally feeling ill and weak. My chest aches, and my heart has been racing rapidly.",infectology
437,"I've been suffering with chills, tiredness, and a cough recently. I've been sweating tremendously and feeling overall unwell and weak. I've also had some thick, black phlegm. My chest aches, and my heart has been racing.",infectology
438,"I'm running a temperature and can't seem to catch my breath. I've been sweating tremendously and feeling overall unwell and weak. I've also had some thick, black phlegm. My heart has been beating frantically, and my chest hurts.",infectology
439,"I'm drenched with sweat and can't seem to catch my breath. My throat is clogged with mucus, and I'm miserable. My heart is racing, and my chest aches. I'm coughing up a brownish stringy mucus.",infectology
440,"I'm saturated with sweat and struggling to breathe. My throat is blocked with mucous, and I'm uncomfortable. My heart is racing, and my chest aches. I'm coughing up a darkish stringy mucous.",infectology
441,"I'm having a lot of problems breathing. I'm not feeling good, and I'm sweating a lot. I have a lot of mucous in my throat and my chest hurts. My breathing is laboured, and the phlegm I'm coughing up has an odd tint.",infectology
442,"I have a lot of difficulty breathing. I don't feel well, and I'm perspiring a lot. My chest hurts, and I have a lot of mucus in my throat. I'm having trouble breathing, and the phlegm I'm coughing up has a strange hue.",infectology
443,"I've been coughing a lot and feeling incredibly chilly and exhausted. I have a pretty high fever, and it's difficult for me to breathe. I've been perspiring a lot and generally feeling weak and ill. I've had some quite thick and black phlegm.",infectology
444,"I've recently had chills, exhaustion, a cough, a high temperature, and breathing issues. I've been perspiring a lot and generally feeling weak and ill. I've had some quite thick and black phlegm. My heart has been racing quite quickly.",infectology
445,"Constipation, discomfort with bowel motions, and anus pain have all recently been bothering me. My anus has been quite inflamed, and my stool has been extremely bloody.",gastroenterology
446,"Lately I've been experiencing constipation, pain during bowel movements, and pain in my anus. My stool has also been really bloody and my anus has been really irritated.",gastroenterology
447,"Recently, I've been having a lot of difficulty using the restroom. My bowel movements have been extremely uncomfortable and difficult for me to have.  My anus has been quite inflamed, and my stool has been extremely bloody.",gastroenterology
448,"I've been having a lot of trouble going to the bathroom lately. It's really painful when I do, and there's been some blood in my stool. I've also been having some pain and irritation around my anus.",gastroenterology
449,"Recently, I've been having a lot of difficulty using the restroom. When I do, it hurts a lot, and I've noticed some blood in my stool. Around my anus, I've also been experiencing some discomfort and itching.",gastroenterology
450,"Lately I've been really constipated, and it's been really painful when I do go to the bathroom. I've also noticed some blood in my stool, and my anus has been really irritated.",gastroenterology
451,"I've been suffering from severe constipation lately, and whenever I do go to the restroom, it hurts a lot. Aside from that, my anus has been really itchy, and I've observed some blood in my stool.",gastroenterology
452,"I've been having a lot of trouble going to the bathroom lately, and it's been really painful. I've also noticed that my stool has been bloody and my anus has been really irritated.",gastroenterology
453,"Recently, I've been having a lot of discomfort and difficulty using the restroom. Additionally, I've noticed that my anus has been quite sore and that my stool has been bloody.",gastroenterology
454,"I've been terribly constipated lately, and when I do go to the bathroom, it hurts a lot. Aside from that, my anus has been really itchy, and I've observed some blood in my stool.",gastroenterology
